latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
47.83283,38.47645,296.61,0.48,0.48,6/30/2025,9,N,VIIRS,n,2.0NRT,283.16,0.67,N
50.82793,20.27338,298.02,0.46,0.47,6/30/2025,9,N,VIIRS,n,2.0NRT,285.93,0.52,N
51.27075,11.65758,303.7,0.54,0.68,6/30/2025,9,N,VIIRS,n,2.0NRT,287.58,1.17,N
51.14058,37.92948,329.38,0.57,0.43,6/30/2025,9,N,VIIRS,n,2.0NRT,286.97,5.29,N
44.08002,22.10502,304.47,0.49,0.4,6/30/2025,11,N,VIIRS,n,2.0NRT,291.57,1.2,N
45.25894,31.67517,331.66,0.45,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,291.96,4.97,N
46.63244,32.12699,301.09,0.44,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,287.01,0.74,N
48.26284,14.33297,304.14,0.4,0.6,6/30/2025,11,N,VIIRS,n,2.0NRT,291.16,1.16,N
46.44524,31.96969,302.89,0.44,0.38,6/30/2025,11,N,VIIRS,n,2.0NRT,287.95,1.66,N
43.79662,21.33635,305.44,0.52,0.41,6/30/2025,11,N,VIIRS,n,2.0NRT,290.2,1.08,N
44.10711,23.17986,305.96,0.45,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,290.46,1.57,N
46.35194,30.6669,311.06,0.41,0.37,6/30/2025,11,N,VIIRS,n,2.0NRT,286.33,0.84,N
46.42002,11.41496,301.04,0.53,0.67,6/30/2025,11,N,VIIRS,n,2.0NRT,286.01,0.66,N
48.27948,14.33977,318.83,0.4,0.6,6/30/2025,11,N,VIIRS,n,2.0NRT,292.15,2.11,N
45.25546,31.6738,319.87,0.45,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,288.8,4.97,N
46.89586,26.02821,296.7,0.4,0.37,6/30/2025,11,N,VIIRS,n,2.0NRT,285.16,0.6,N
48.263,14.32743,304.07,0.4,0.6,6/30/2025,11,N,VIIRS,n,2.0NRT,291.17,1.15,N
45.29246,25.11084,301.79,0.41,0.37,6/30/2025,11,N,VIIRS,n,2.0NRT,289.6,0.8,N
44.12471,42.01282,295.12,0.44,0.62,6/30/2025,11,N,VIIRS,n,2.0NRT,280.13,1.19,N
43.79593,21.34279,302.05,0.52,0.41,6/30/2025,11,N,VIIRS,n,2.0NRT,289.41,0.9,N
44.88673,38.11837,301.27,0.56,0.51,6/30/2025,11,N,VIIRS,n,2.0NRT,285.66,1.36,N
44.88216,38.11507,299.35,0.56,0.51,6/30/2025,11,N,VIIRS,n,2.0NRT,285.01,1.36,N
49.68111,18.66599,320.1,0.52,0.5,6/30/2025,11,N,VIIRS,n,2.0NRT,288.96,5.84,N
48.27421,14.32831,304.76,0.4,0.6,6/30/2025,11,N,VIIRS,n,2.0NRT,292,3.55,N
46.2288,13.07342,309.9,0.44,0.63,6/30/2025,11,N,VIIRS,n,2.0NRT,292,1.39,N
43.87047,17.54615,304.9,0.51,0.5,6/30/2025,11,N,VIIRS,n,2.0NRT,287.55,1.42,N
48.27965,14.33424,320.61,0.4,0.6,6/30/2025,11,N,VIIRS,n,2.0NRT,292.98,2.11,N
45.37393,30.92767,318.46,0.43,0.38,6/30/2025,11,N,VIIRS,n,2.0NRT,288.93,2.36,N
48.27404,14.33386,317.03,0.4,0.6,6/30/2025,11,N,VIIRS,n,2.0NRT,292.22,2.11,N
44.73508,37.80587,320.93,0.54,0.51,6/30/2025,11,N,VIIRS,n,2.0NRT,287.72,2.35,N
44.77094,33.86299,305.54,0.55,0.43,6/30/2025,11,N,VIIRS,n,2.0NRT,284.4,1.54,N
46.64046,32.12418,320.42,0.44,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,287.14,1.98,N
46.63589,32.12841,301.91,0.44,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,287.15,0.79,N
49.67647,18.6653,301.56,0.52,0.5,6/30/2025,11,N,VIIRS,n,2.0NRT,287.84,1.73,N
45.46101,10.4527,308.02,0.59,0.7,6/30/2025,11,N,VIIRS,n,2.0NRT,291.14,2.56,N
46.4476,31.97672,316.41,0.44,0.38,6/30/2025,11,N,VIIRS,n,2.0NRT,288.32,1.6,N
46.64721,32.10867,296.58,0.44,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,283.75,0.45,N
47.03659,22.33447,304.1,0.51,0.41,6/30/2025,11,N,VIIRS,n,2.0NRT,290.35,1.01,N
47.42737,19.86856,304.53,0.44,0.46,6/30/2025,11,N,VIIRS,n,2.0NRT,289.8,1.08,N
44.12627,42.00773,295.84,0.44,0.62,6/30/2025,11,N,VIIRS,n,2.0NRT,281.13,1.67,N
44.77156,33.86378,303.56,0.55,0.43,6/30/2025,11,N,VIIRS,n,2.0NRT,284.29,0.61,N
44.73496,37.81231,299.41,0.54,0.51,6/30/2025,11,N,VIIRS,n,2.0NRT,285.31,1.79,N
43.86591,17.54494,312.3,0.51,0.5,6/30/2025,11,N,VIIRS,n,2.0NRT,286.11,1.42,N
43.65551,19.30711,305.28,0.42,0.45,6/30/2025,11,N,VIIRS,n,2.0NRT,289.17,1.18,N
44.88665,38.11747,304,0.56,0.51,6/30/2025,11,N,VIIRS,n,2.0NRT,285.63,1.36,N
46.64611,32.1143,300.06,0.44,0.39,6/30/2025,11,N,VIIRS,n,2.0NRT,285.42,0.45,N
48.27388,14.33936,324.73,0.4,0.6,6/30/2025,11,N,VIIRS,n,2.0NRT,291.53,2.11,N
46.35099,30.67214,312.06,0.41,0.37,6/30/2025,11,N,VIIRS,n,2.0NRT,286.6,0.88,N
44.71597,20.87527,304.06,0.55,0.43,6/30/2025,11,N,VIIRS,n,2.0NRT,290.21,1.87,N
